Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,147,7,Some Random Commen with Id 0
1,1,0,196,9,Some Random Commen with Id 1
2,1,0,36,5,Some Random Commen with Id 2
3,1,0,37,9,Some Random Commen with Id 3
4,1,0,150,8,Some Random Commen with Id 4
5,2,4,197,0,Some Random Commen with Id 5
6,3,9,5,8,Some Random Commen with Id 6
7,3,9,184,2,Some Random Commen with Id 7
8,3,9,140,6,Some Random Commen with Id 8
9,3,9,98,5,Some Random Commen with Id 9
10,3,9,122,7,Some Random Commen with Id 10
11,3,9,150,9,Some Random Commen with Id 11
12,3,9,75,5,Some Random Commen with Id 12
13,3,9,197,3,Some Random Commen with Id 13
14,4,6,19,1,Some Random Commen with Id 14
15,4,6,8,7,Some Random Commen with Id 15
16,4,6,177,7,Some Random Commen with Id 16
17,4,6,114,1,Some Random Commen with Id 17
18,4,6,72,7,Some Random Commen with Id 18
19,4,6,96,9,Some Random Commen with Id 19
20,4,6,96,3,Some Random Commen with Id 20
21,5,6,126,7,Some Random Commen with Id 21
22,5,6,69,6,Some Random Commen with Id 22
23,5,6,44,5,Some Random Commen with Id 23
24,5,6,99,2,Some Random Commen with Id 24
25,5,6,90,8,Some Random Commen with Id 25
26,5,6,89,9,Some Random Commen with Id 26
27,6,8,89,6,Some Random Commen with Id 27
28,6,8,121,5,Some Random Commen with Id 28
29,7,2,26,8,Some Random Commen with Id 29
30,7,2,18,5,Some Random Commen with Id 30
31,7,2,156,1,Some Random Commen with Id 31
32,7,2,185,3,Some Random Commen with Id 32
33,7,2,180,7,Some Random Commen with Id 33
34,7,2,29,0,Some Random Commen with Id 34
35,7,2,109,1,Some Random Commen with Id 35
36,7,2,101,4,Some Random Commen with Id 36
37,8,5,75,2,Some Random Commen with Id 37
38,8,5,112,9,Some Random Commen with Id 38
39,8,5,70,2,Some Random Commen with Id 39
40,8,5,174,0,Some Random Commen with Id 40
41,9,1,90,5,Some Random Commen with Id 41
42,9,1,33,7,Some Random Commen with Id 42
43,9,1,170,0,Some Random Commen with Id 43
44,9,1,36,5,Some Random Commen with Id 44
45,10,9,36,7,Some Random Commen with Id 45
46,12,8,74,7,Some Random Commen with Id 46
47,12,8,112,7,Some Random Commen with Id 47
48,12,8,53,2,Some Random Commen with Id 48
49,12,8,71,2,Some Random Commen with Id 49
50,13,4,47,3,Some Random Commen with Id 50
51,13,4,188,9,Some Random Commen with Id 51
52,13,4,77,0,Some Random Commen with Id 52
53,13,4,179,2,Some Random Commen with Id 53
54,13,4,110,6,Some Random Commen with Id 54
55,13,4,69,9,Some Random Commen with Id 55
56,14,0,30,3,Some Random Commen with Id 56
57,14,0,100,3,Some Random Commen with Id 57
58,14,0,34,1,Some Random Commen with Id 58
59,14,0,6,7,Some Random Commen with Id 59
60,14,0,47,7,Some Random Commen with Id 60
61,14,0,177,9,Some Random Commen with Id 61
62,15,6,33,2,Some Random Commen with Id 62
63,15,6,195,2,Some Random Commen with Id 63
64,15,6,143,0,Some Random Commen with Id 64
65,15,6,137,0,Some Random Commen with Id 65
66,15,6,17,3,Some Random Commen with Id 66
67,18,9,98,1,Some Random Commen with Id 67
68,18,9,187,5,Some Random Commen with Id 68
69,19,2,12,3,Some Random Commen with Id 69
70,20,5,82,0,Some Random Commen with Id 70
71,20,5,164,4,Some Random Commen with Id 71
72,20,5,101,0,Some Random Commen with Id 72
73,20,5,63,3,Some Random Commen with Id 73
74,20,5,136,4,Some Random Commen with Id 74
75,21,1,169,5,Some Random Commen with Id 75
76,21,1,17,5,Some Random Commen with Id 76
77,21,1,170,4,Some Random Commen with Id 77
78,21,1,15,9,Some Random Commen with Id 78
79,21,1,72,0,Some Random Commen with Id 79
80,21,1,62,0,Some Random Commen with Id 80
81,21,1,73,3,Some Random Commen with Id 81
82,21,1,29,9,Some Random Commen with Id 82
83,21,1,147,3,Some Random Commen with Id 83
84,22,0,31,2,Some Random Commen with Id 84
85,22,0,143,9,Some Random Commen with Id 85
86,22,0,124,5,Some Random Commen with Id 86
87,22,0,123,4,Some Random Commen with Id 87
88,22,0,87,6,Some Random Commen with Id 88
89,22,0,95,8,Some Random Commen with Id 89
90,22,0,32,0,Some Random Commen with Id 90
91,22,0,161,3,Some Random Commen with Id 91
92,23,6,177,0,Some Random Commen with Id 92
93,23,6,71,6,Some Random Commen with Id 93
94,23,6,76,8,Some Random Commen with Id 94
95,23,6,163,2,Some Random Commen with Id 95
96,23,6,165,5,Some Random Commen with Id 96
97,24,8,12,1,Some Random Commen with Id 97
98,24,8,80,4,Some Random Commen with Id 98
99,24,8,19,6,Some Random Commen with Id 99
100,24,8,20,7,Some Random Commen with Id 100
101,24,8,155,7,Some Random Commen with Id 101
102,25,7,94,9,Some Random Commen with Id 102
103,26,2,29,6,Some Random Commen with Id 103
104,26,2,182,5,Some Random Commen with Id 104
105,26,2,129,2,Some Random Commen with Id 105
106,26,2,178,2,Some Random Commen with Id 106
107,27,6,45,1,Some Random Commen with Id 107
108,27,6,100,6,Some Random Commen with Id 108
109,27,6,31,2,Some Random Commen with Id 109
110,27,6,87,8,Some Random Commen with Id 110
111,28,7,31,5,Some Random Commen with Id 111
112,28,7,122,0,Some Random Commen with Id 112
113,28,7,34,3,Some Random Commen with Id 113
114,28,7,84,4,Some Random Commen with Id 114
115,28,7,12,5,Some Random Commen with Id 115
116,28,7,10,7,Some Random Commen with Id 116
117,28,7,129,3,Some Random Commen with Id 117
118,29,5,129,9,Some Random Commen with Id 118
119,29,5,141,6,Some Random Commen with Id 119
120,29,5,50,1,Some Random Commen with Id 120
121,29,5,67,4,Some Random Commen with Id 121
122,29,5,172,4,Some Random Commen with Id 122
123,29,5,52,0,Some Random Commen with Id 123
124,29,5,101,0,Some Random Commen with Id 124
125,29,5,59,5,Some Random Commen with Id 125
126,30,6,42,0,Some Random Commen with Id 126
127,30,6,163,2,Some Random Commen with Id 127
128,33,3,121,9,Some Random Commen with Id 128
